Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3,Cat_4
Methyl pentadecanoate,7132-64-1,Rxi5ms,251.37,39.992,138.82,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl cis-10-pentadecenoate,90176-52-6,Rxi5ms,250.72,40.432,136.77,0.002,Brehmer2022,FAME,unsaturated FAME,,
Methyl palmitate,112-39-0,Rxi5ms,262.6,40.35,142.22,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl palmitoleate,10030-74-7,Rxi5ms,261.19,40.871,140.38,0.002,Brehmer2022,FAME,unsaturated FAME,,
Methyl heptadecanoate,1731-92-6,Rxi5ms,273.21,40.542,142.5,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
cis-10-Heptadecenoic acid methyl ester,75190-82-8,Rxi5ms,271.96,41.065,139.68,0.002,Brehmer2022,FAME,,,
Methyl stearate,112-61-8,Rxi5ms,283.43,40.879,146.92,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl arachidate,1120-28-1,Rxi5ms,302.28,41.176,150.1,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl heneicosanoate,6064-90-0,Rxi5ms,311.09,41.342,154.5,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl behenate,929-77-1,Rxi5ms,319.69,41.75,164.65,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl tricosanoate,2433-97-8,Rxi5ms,325.46,37.848,54.367,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl lignocerate,2442-49-1,Rxi5ms,335.89,42.292,175.53,0.002,Brehmer2022,FAME,saturated FAME,,
Methyl nervonate,2733-88-2,Rxi5ms,334.85,42.664,169.23,0.002,Brehmer2022,FAME,unsaturated FAME,,
Methyl butyrate,623-42-7,Rxi5ms,51.186,27.537,79.557,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl hexanoate,106-70-7,Rxi5ms,95.515,31.3,7.544,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl decanoate,110-42-9,Rxi5ms,163.96,31.63,16.171,0.001,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
Methyl undecanoate,1731-86-8,Rxi5ms,177.78,31.785,34.318,0.001,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
Methyl laurate,111-82-0,Rxi5ms,190.9,32.093,45.59,0.001,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
 Methyl tridecanoate,1731-88-0,Rxi5ms,203.27,32.352,58.904,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl myristate,124-10-7,Rxi5ms,215.09,32.657,69.442,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl myristoleate,92857-33-5,Rxi5ms,214.13,32.965,64.999,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl pentadecanoate,7132-64-1,Rxi5ms,226.36,32.912,75.927,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
