Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
Valerophenone,1009-14-9,Rxi17SilMS,180.35,37.085,139.82,0.001,Brehmer2022,phenone,phenones,
2-Tridecanone,593-8-8,Rxi17SilMS,181.47,34.737,178.69,0.001,Brehmer2022,ketone,,
Methyl tridecanoate,1731-88-0,Rxi17SilMS,191.67,31.201,116.79,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Hexanophenone,942-92-7,Rxi17SilMS,193.72,37.169,136.76,0.001,Brehmer2022,phenone,phenones,
Methyl myristate,124-10-7,Rxi17SilMS,203.33,31.477,116.26,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl myristoleate,92857-33-5,Rxi17SilMS,205.38,31.75,104.8,0.001,Brehmer2022,FAME,,
2-Pentadecanone,2345-28-0,Rxi17SilMS,205.93,35.2,177.09,0.001,Brehmer2022,ketone,alkanones,
Heptanophenone,1671-75-6,Rxi17SilMS,206.14,37.092,133.77,0.001,Brehmer2022,phenone,phenones,
Methyl pentadecanoate,7132-64-1,Rxi17SilMS,214.28,31.498,109.4,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl cis-10-pentadecenoate,90176-52-6,Rxi17SilMS,216.4,31.955,105.78,0.001,Brehmer2022,FAME,,
Octanophenone,1674-37-9,Rxi17SilMS,217.92,36.987,133.13,0.001,Brehmer2022,phenone,phenones,
Methyl palmitate,112-39-0,Rxi17SilMS,224.78,31.705,111.82,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl palmitoleate,10030-74-7,Rxi17SilMS,225.98,32.136,106.3,0.001,Brehmer2022,FAME,,
Methyl heptadecanoate,1731-92-6,Rxi17SilMS,234.82,31.932,116.42,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
cis-10-Heptadecenoic acid methyl ester,75190-82-8,Rxi17SilMS,236.03,32.316,107.78,0.001,Brehmer2022,FAME,,
Methyl stearate,112-61-8,Rxi17SilMS,244.82,32.384,119.61,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
cis-9-Oleic acid methyl ester,112-62-9,Rxi17SilMS,245.31,32.324,115.33,0.001,Brehmer2022,FAME,saturated FAME,
trans-9-Elaidic acid methyl ester,1937-62-8,Rxi17SilMS,245.35,32.806,121.27,0.001,Brehmer2022,FAME,,
Methyl linolelaidate,2566-97-4,Rxi17SilMS,247.19,32.817,108.96,0.001,Brehmer2022,FAME,,
Methyl linoleate,112-63-0,Rxi17SilMS,247.54,31.979,102.34,0.001,Brehmer2022,FAME,,
Methyl gamma linolenate,132029-16-4,Rxi17SilMS,247.93,33.017,100.91,0.001,Brehmer2022,FAME,,
Methyl alpha linolenate,301-0-8,Rxi17SilMS,250.18,33.027,106.15,0.001,Brehmer2022,FAME,,
PCB 28,7012-37-5,Rxi17SilMS,257.18,44.513,173.01,0.001,Brehmer2022,PCB,,
Methyl arachidate,1120-28-1,Rxi17SilMS,262.19,32.166,116.13,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl cis-11-eicosenoate,2390-9-2,Rxi17SilMS,263.07,32.798,118.95,0.001,Brehmer2022,FAME,,
PCB 52,35693-99-3,Rxi17SilMS,263.82,45.906,218.95,0.001,Brehmer2022,PCB,,
"cis-11,14-Eicosadienoic acid methyl ester",61012-46-2,Rxi17SilMS,265.13,32.894,104.53,0.001,Brehmer2022,FAME,,
"cis-8,11,14-Eicosatrienoic acid methyl ester",21061-10-9,Rxi17SilMS,265.89,33.318,103.97,0.001,Brehmer2022,FAME,,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",7771-44-0,Rxi17SilMS,266.29,33.502,94.808,0.001,Brehmer2022,FAME,,
"cis-11,14,17-Eicosatrienoic acid methyl ester",55682-88-7,Rxi17SilMS,268.05,33.184,105.86,0.001,Brehmer2022,FAME,,
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",2734-47-6,Rxi17SilMS,268.28,31.967,13.169,0.001,Brehmer2022,FAME,,
Methyl heneicosanoate,6064-90-0,Rxi17SilMS,270.58,32.218,116.07,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl behenate,929-77-1,Rxi17SilMS,278.61,32.186,113.23,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl erucate,1120-34-9,Rxi17SilMS,279.54,33.134,163.62,0.001,Brehmer2022,FAME,,
PCB 101,37680-73-2,Rxi17SilMS,280.52,44.407,176.52,0.001,Brehmer2022,PCB,,
"cis-13,16-Docosadienoic acid methyl ester",61012-47-3,Rxi17SilMS,281.68,33.017,109.71,0.001,Brehmer2022,FAME,,
Methyl tricosanoate,2433-97-8,Rxi17SilMS,286.49,32.44,122.25,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",301-01-9,Rxi17SilMS,286.57,34.259,101.79,0.001,Brehmer2022,FAME,,
Methyl lignocerate,2442-49-1,Rxi17SilMS,294.06,32.608,127.31,0.001,Brehmer2022,FAME,,
Methyl nervonate,2733-88-2,Rxi17SilMS,295.09,32.844,105.06,0.001,Brehmer2022,FAME,,
PCB 153,35065-27-1,Rxi17SilMS,296.18,43.097,145.08,0.001,Brehmer2022,PCB,,
PCB 138,35065-28-2,Rxi17SilMS,307.74,47.075,186.24,0.001,Brehmer2022,PCB,,
PCB 180,35065-29-3,Rxi17SilMS,319.28,48.437,207.35,0.001,Brehmer2022,PCB,,
Glyceryl triacetate,102-76-1,Rxi17SilMS,446.15,31.282,1552.2,0.001,Brehmer2022,triglyceride,ester,
Glyceryl tributyrate,60-1-5,Rxi17SilMS,502.88,35.741,899.09,0.001,Brehmer2022,triglyceride,ester,
Glyceryl trihexanoate,621-70-5,Rxi17SilMS,552.28,35.775,730.23,0.001,Brehmer2022,triglyceride,ester,
Glyceryl trioctanoate,538-23-8,Rxi17SilMS,592.1,35.964,778.71,0.001,Brehmer2022,triglyceride,ester,
Glyceryl tridecanoate,621-71-6,Rxi17SilMS,630.8,45.336,1175.3,0.001,Brehmer2022,triglyceride,ester,
Glyceryl trilaurate,538-24-9,Rxi17SilMS,671.09,69.511,1787.7,0.001,Brehmer2022,triglyceride,ester,
Naphthalene,91-20-3,Rxi17SilMS,157.87,35.057,38.625,0.001,Duong2022,PAH,,
Acenaphthylene,208-96-8,Rxi17SilMS,205.21,37.553,10.239,0.001,Duong2022,PAH,,
